Tema;Palabras clave;Tipo de tema;Explicación;Asignatura;Jerarquia temática (Mapa/Arbol)
Concepto de programación;Solución, programa, interfaz, funcionalidad, lenguaje.;Teórico;Se explica y define el concepto de programación mas allá de solamente su dimensión técnica, sino tambien considerando los aspectos lógicos, metodológicos y empresariales. Igualmente esta temática funciona como elemento introductorio de la asignatura y en general de toda la línea curricular de software.;Fundamentos de programación;Concepto de programación
Qué es programar;Proceso, conjunto, instrucciones, computadora, lenguaje.;Teórico;Se explica el concepto de programar, como elemento base para luego poder explicar el concepto de programación. Se parte del hecho de que programar es un proceso, no exclusivamente ligado a la tecnología, que hace referencia a la determinación, organización e indicación de pasos, instrucciones, procesos, eventos, entre otros, teniendo un objetivo específico.;Fundamentos de programación;Qué es programar, Concepto de programación
Qué es programación;Código, compilar, lenguaje, variables, métodos.;Teoríco;Se explica el concepto de programación, como la labor o actividad de programar, caracterizandolo y delimitándolo en el contexto de la tecnología. Generalmente se establece que la programación es la acción de programar. ;Fundamentos de programación;Qué es programación, Concepto de programación
Problemas, soluciones, comprensión y especificación del problema;No, aplica;Teoríco;Se explica que es un problema, que es la solución a un problema y en que consiste especificar un problema. Igualmente se exponen los elementos que componen la especificación de un problema, al igual que el proceso a realizar.;Fundamentos de programación;Problemas, soluciones, comprensión y especificación del problema, Concepto de programación
Elementos de un programa;Funcionalidad, interfaz, algoritmo, validación, botones;Teoríco;Se enlistan, definen y caracterizan los elementos que componen un programa de computadora, al igual que se exponen las caracteristicas de un programa propiamente.;Fundamentos de programación;Elementos de un programa, Concepto de programación
Paradigmas de programación;Sucesión, instrucciones, desarrollador, programa, algoritmos.;Teoríco;Se explica el concepto de paradigma de programación, al igual que se presentan los principales paradigmas de programación, haciendo especial hincapíe en la programación orientada a objetos.;Fundamentos de programación;Paradigmas de la programación, Concepto de programación
Introducción al paradigma de programación;Estructurada, procedimental, modular, funcional, razonamiento.;Teoríco;Se introduce el concepto de paradigma de programación y las caracteristicas para que algo se denomine paradigma y no estilo de programación.;Fundamentos de programación;Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Qué es una computadora;Máquina, software, hardware, sistema operativo, programas;Teoríco;Se define el concepto de computador, sus principales componentes, tanto de software como de hardware, y se repasa y/o redefine el concepto de programar y de programación en función del concepto de computador.;Fundamentos de programación;Conceptos y temas, Introducción al paradigma POO, Paradigmas de la programación, Concepto de programación
Qué es un lenguaje de programación;Datos, algoritmos, compilación, simbología, estructura;Teoríco;Se define que es un lenguaje de programación, cuales son sus características, como esta estructurado y la relación entre los paradigmas de programación y los lenguajes de programación.;Fundamentos de programación;Qué es un lenguaje de programación, Conceptos y temas
Tipos de lenguajes;Aplicaciones, compatibilidad, máquina, ensamblador, programación;Teoríco;"Se enumeran los tipos de lenguajes de programación, al igual que se caracterizan, diferencian y agrupan por medio de su enfoque, sus aplicaciones, paradigma, si son interpretados o compilados, y su ""nivel"", entre otras características particulares.";Fundamentos de programación;Tipos de lenguajes, Qué es un lenguaje de programación, Conceptos y temas
