Date;Hour;Log;Language;Intent;Confidence;Description
2021/10/25;13:30:34;Hol;en;"";N/A;""
2021/10/25;13:30:39;Diagrama;en;"";N/A;""
2021/10/25;13:30:45;Diagrama de clases;en;"";N/A;""
2021/10/25;13:30:52;Que es un diagrama de clases;en;"";N/A;""
2021/10/25;14:11:24;d;en;saludos;0.61;
2021/10/25;14:11:29;iagrama;es;saludos;0.6;
2021/10/25;14:11:35;iagrama clases;es;"";N/A;""
2021/10/25;14:11:42;iagrama de clases;es;"";N/A;""
2021/10/25;14:11:46;diagrama clases;es;"";N/A;""
2021/10/25;14:12:09;que iagrama de clases;es;"";N/A;""
2021/10/25;14:12:14;ques es;es;saludos;0.55;
2021/10/25;14:12:22;en que consiste un modelo de clases;es;definicion-diagrama-de-clases;0.82;
2021/10/25;15:04:45;ejemplo diagrama clases;es;"";N/A;""
2021/10/25;15:04:51;ejemplo de diagrama clases;es;"";N/A;""
2021/10/25;18:12:49;ejemplo de un diagram de clase;es;ejemplo-diagrama-de-clases;0.71;
2021/10/25;18:17:20;diagrama de clases ejmplo dar;es;"";N/A;""
2021/10/25;18:17:28;diagrama de clases ejemplo;es;"";N/A;""
2021/10/25;18:25:59;que es un diagrama de class;ca;definicion-diagrama-de-clases;0.54;
2021/10/25;18:26:13;en que consiste un diagrama de clases;es;definicion-diagrama-de-clases;0.99;
2021/10/25;21:32:25;ejemplo del diagrama de clases;es;"";N/A;""
2021/10/25;21:50:04;como creo construyo un diagrama de clases;es;construccion-diagrama-de-clases;0.93;
2021/10/25;21:50:52;construccion diagrama clas;es;"";N/A;""
2021/10/25;21:51:01;construccion de diagrama clas;es;construccion-diagrama-de-clases;0.66;
2021/10/26;13:47:35;ejemplo de diagramas de clase;es;ejemplo-diagrama-de-clases;0.73;
2021/10/26;13:50:03;2;es;despedidas;0.5;
2021/10/26;13:51:21;Hola, esta es la respuesta;es;saludos;0.8;
2021/10/26;14:06:14;construccion crear de un diagrama de clases;ca;construccion-diagrama-de-clases;0.87;
2021/10/26;14:06:17;sghhhhhhhhhhhhhh;es;saludos;0.59;
2021/10/26;15:35:09;construccion diagrama de clases;es;construccion-diagrama-de-clases;0.87;
2021/10/26;15:47:03;construcción diagrama de clases;es;construccion-diagrama-de-clases;0.9;
2021/10/26;16:38:10;explicación de los ejemplos de diagrama de clase;es;explicacion-ejemplos-diagrama-de-clases;0.94;
2021/10/26;16:48:34;explicacion ejemplos diagrama de clases;es;explicacion-ejemplos-diagrama-de-clases;0.62;
2021/10/26;16:56:21;ejemplo de un diagrama de clases;es;ejemplo-diagrama-de-clases;0.99;
2021/10/26;16:58:33;Ejemplo de diagrama de clases;es;ejemplo-diagrama-de-clases;0.62;
2021/10/26;18:32:17;ejemplos diagrama de clases;es;ejemplo-diagrama-de-clases;0.99;
2021/10/26;18:32:53;1;es;"";N/A;""
2021/10/26;18:43:02;ejemplo diagrama de clase;es;ejemplo-diagrama-de-clases;0.62;
2021/10/26;18:43:49;explanation of classes diagram;en;despedidas;0.58;
2021/10/26;18:44:00;examples of classes diagram;en;despedidas;0.58;
2021/10/26;18:55:52;ejemplo diagrama de clases;es;ejemplo-diagrama-de-clases;0.99;
2021/10/26;20:24:22;ejemplo de diagrama de clase;es;ejemplo-diagrama-de-clases;0.53;
2021/10/26;20:33:49;ejemplo diagrama de clasess};es;ejemplo-diagrama-de-clases;0.63;
2021/10/26;20:36:09;ejemplo diagrama de clasess;es;ejemplo-diagrama-de-clases;0.63;
2021/10/26;21:57:28;ejemplo de diagrama de clases;es;ejemplo-diagrama-de-clases;0.66;
2021/10/26;21:57:32;No, no necesito explicación;es;"";N/A;""
2021/10/27;13:42:19;que es un diagrama deeee clases;es;definicion-diagrama-de-clases;0.7;
2021/10/27;13:42:50;me podrias dar un ejemplo de un diagrama de clases?;es;ejemplo-diagrama-de-clases;0.9;
2021/10/27;13:43:49;pero como puedo construir un diagrama de clases?;es;construccion-diagrama-de-clases;0.88;
2021/10/27;17:39:51;quiero una explicación del ejemplo específico de diagrama de clases;es;explicacion-ejemplos-diagrama-de-clases;0.61;
2021/10/27;17:42:34;explicacion;es;saludos;0.55;
2021/10/27;17:42:39;explicación diagrama de clases;es;construccion-diagrama-de-clases;0.53;
2021/10/27;17:43:05;explicación de ejemplos diagrama de clases;es;explicacion-ejemplos-diagrama-de-clases;0.76;
2021/10/27;17:43:47;explicación del segundo ejemplo del diagrama de clases;es;explicacion-ejemplos-diagrama-de-clases;0.95;
2021/10/27;17:43:59;explicación del primer ejemplo de diagrama de clases;es;explicacion-ejemplos-diagrama-de-clases;0.93;
2021/10/27;18:17:23;explicación de los ejemplos de diagrama de clases;es;explicacion-ejemplos-diagrama-de-clases;0.94;
